Wall time,Step,Value
1678189196.170576,10486,0.0
1678189198.755799,10597,0.0
1678189214.135606,11229,0.0
1678189215.398972,11278,0.0
1678189223.954864,11629,0.0
1678189224.468574,11651,0.0
1678189226.474052,11728,0.0
1678189230.23193,11882,0.0
1678189231.112169,11915,0.0
1678189235.244502,12072,0.0
1678189236.823969,12137,0.0
1678189284.023003,14103,0.0
1678189306.690655,15053,0.0
1678189308.20489,15113,0.0
1678189312.8028,15307,0.0
1678189317.398682,15491,0.0
1678189320.487376,15608,0.0
1678189335.954092,16237,0.0
1678189347.351271,16707,0.0
1678189355.661847,17042,0.0
1678189357.48564,17115,0.0
1678189360.70684,17243,0.0
1678189369.206635,17582,0.0
1678189369.908885,17608,0.0
1678189372.322028,17709,0.0
1678189376.27232,17860,0.0
1678189377.771446,17920,0.0
1678189393.105706,18544,0.0
1678189406.382081,19076,0.0
1678189430.113536,20010,0.0
1678189485.363824,22255,0.0
1678189501.16722,22703,0.0
1678189517.232277,23353,0.0
1678189525.220106,23689,0.0
1678189526.454747,23736,0.0
1678189551.420405,24767,0.0
1678189574.580744,25709,0.0
1678189591.35064,26406,0.0
1678189591.785209,26423,0.0
1678189608.292144,27084,0.0
1678189625.722118,27803,0.0
1678189647.555857,28686,0.0
1678189648.002802,28702,0.0
1678189672.902721,29774,0.0
1678189684.201075,30257,0.0
1678189684.704009,30274,0.0
1678189701.187081,30965,0.0
1678189734.064389,32343,0.0
1678189747.720211,32888,0.0
1678189752.950543,33098,0.0
1678189758.73028,33347,0.0
1678189800.578964,35088,0.0
1678189802.294602,35163,0.0
1678189803.918565,35229,0.0
1678189837.720802,36639,0.0
1678189874.920412,38150,0.0
1678189880.958495,38402,0.0
1678189883.907708,38528,0.0
1678189889.08764,38728,0.0
1678189889.853827,38767,0.0
1678189890.883043,38807,0.0
1678189900.481813,39167,0.0
1678189914.525386,39327,0.0
1678189926.775504,39827,0.0
1678189934.362392,40143,0.0
1678189935.17909,40175,0.0
1678189938.580003,40305,0.0
1678189945.885873,40599,0.0
1678189958.023954,41101,0.0
1678189962.470228,41276,0.0
1678189981.829383,42057,0.0
1678189984.236125,42148,0.0
1678189986.035953,42215,0.0
1678189994.097298,42536,0.0
1678190006.338275,43044,0.0
1678190031.737271,44031,0.0
1678190040.427878,44353,0.0
1678190042.209669,44416,0.0
1678190044.175451,44493,0.0
1678190072.761243,45529,0.0
1678190074.534668,45598,0.0
1678190078.749261,45767,0.0
1678190111.047682,47002,0.0
1678190116.135241,47187,0.0
1678190120.585421,47356,0.0
1678190125.373752,47533,0.0
1678190141.07787,48136,0.0
1678190147.538836,48377,0.0
1678190156.009216,48704,0.0
1678190174.982314,49413,0.0
1678190186.094136,50027,0.0
1678190188.627544,50149,0.0
1678190190.53012,50236,0.0
